Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,HILTON GLASGOW GROSVENOR,4019985," £6,148.85 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Minor Works (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",COI COMMUNICATIONS,4019993," £3,875.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4019994, £911.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4020038, £975.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,ESRI (UK) LTD,4020041," £16,210.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4020042," £16,953.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4020043," £32,805.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Independent Experts,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NATURAL ENVIRONMENT RESEARCH COUNCIL,4020048," £1,767.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4020050," £20,005.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4020052," £8,543.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4020056," £1,382.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH BOATS (SPECIAL PROJECTS) LTD,4020057," £30,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH BOATS (SPECIAL PROJECTS) LTD,4020058," £30,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020062, £858.76 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4020063," £3,871.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4020064, £539.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,IMPERIAL COLLEGE LONDON,4020070," £13,477.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SIEMENS plc,4020071," £166,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020072," £64,222.53 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4020077," £28,749.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4020078, £682.50 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4020080, £756.64 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GREEN TOMATO CARS LTD,4020084," £1,441.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/12/2010 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4020086," £8,582,234.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,NORFOLK COUNTY COMMUNITY INTEREST COMPANY,4019838," £4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Other Programme Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,DIALOGUE BY DESIGN,4019853," £35,480.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,THE ENERGY SAVING TRUST LTD,4019863," £50,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4019973, £907.06 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4019973," £4,882.07 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4019979," £30,963.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4020029," £2,176.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,SERENA SOFTWARE EUROPE LTD,4020059," £1,965.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020066, £798.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4020090, £526.83 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020091, £580.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4020093, £545.93 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4020094, £519.41 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020099, £662.05 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020101, £573.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020104, £627.22 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4020110," £62,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,DAVIS BLANK FURNISS SOLICITORS,4020112, £548.10 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Catering Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BAXTERSTOREY LTD,4020123," £1,279.89 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4020145," £53,354.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4020147," £1,755.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4020148," £2,687.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4020148," £5,502.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4020155," £12,613.63 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Contributions (Programme),Energy Markets & Infrastructure - Energy Development Unit,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4020160, £881.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4020162," £62,330.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/12/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4020163," £2,605.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020089, £708.51 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4020097, £774.56 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,OGC BUYING SOLUTIONS,4020111," £9,692.87 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020151," £3,185.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4020152," £1,795.59 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4020164," £13,929.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020165," £4,323.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Hire of Conference Facilities,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4020167," £1,421.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020168," £1,531.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Rates (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,MANCHESTER CITY COUNCIL,4020169," £5,007.22 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,MJM ENERGY LTD,4020170," £3,568.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,4020171," £55,187.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,THE STATIONERY OFFICE LTD,4020172," £5,422.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4020175," £3,525.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020176," £258,411.26 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020177," £64,606.77 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020178," £278,078.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4020180," £206,752.39 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,External Training,Science & Innovation Group - Science & Innovation Group,NATIONAL SCHOOL OF GOVERNMENT,4020186," £1,235.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4020192," £55,666.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Telephone Helpline Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020193," £18,459.93 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Leadership & People Management Training,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,PEOPLE TEAM AND CHANGE SOLUTIONS LTD,4020194, £750.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4020196," £1,950.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4020205," £5,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020216," £6,332.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - Energy Efficiency & Consumers,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4020220," £100,948.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Contract Management,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4020221," £190,234.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Contract Management,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4020222," £197,572.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Contract Management,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4020231," £72,615.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/12/2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4020233," £818,815.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WEB TECHNOLOGY GROUP (WTG),4017981," £13,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CYMDEITHAS CWM ARIAN,4020061," £4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020103, £619.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Entertaining UK,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020150, £638.70 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Entertaining UK,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4020150, £750.47 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020191," £1,860.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4020206," £12,321.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Press Cutting Services,National Climate Change & Consumer Support - Communications,PRECISE MEDIA MONITORING LTD,4020208," £4,016.86 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4020210," £103,221.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4020211," £333,856.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4020213," £32,785.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,GASTEC AT CRE LTD,4020217," £20,004.38 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - Energy Efficiency & Consumers,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4020218," £329,506.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4020223," £348,741.16 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4020223," £3,490.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CLARKSON MANAGEMENT SERVICES LTD,4020225," £16,783.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020227," £1,574.02 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4020228," £41,496.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,IC CONSULTANTS LTD,4020229," £7,067.39 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WEB TECHNOLOGY GROUP (WTG),4020230," £18,169.23 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4020232," £10,054.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Other IT Costs (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,Galson Sciences Ltd,4020237," £5,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4020238," £1,195.76 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4020239, £832.55 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020250," £10,512.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020251," £6,264.86 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4020253," £109,713.23 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4020254," £22,369.96 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020264," £10,695.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020265," £16,220.36 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020266," £64,247.57 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020268," £5,399.82 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020269," £15,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020271," £131,860.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020272," £75,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/12/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020273," £2,495.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019522, £978.97 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4019975," £20,092.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4020095," £4,777.61 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4020109," £15,178.22 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020156," £1,041.72 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CWMCLYDACH COMMUNITY DEVELOPMENT TRUST,4020243," £114,338.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020277," £1,216.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020278," £1,520.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4020279," £1,247.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020280," £122,165.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4020281," £206,238.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4020282," £27,440.31 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020283," £37,547.15 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020284," £230,952.54 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4020285," £1,744.48 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/12/2010 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4020289," £30,703.50 "
